parameter_shortname,parameter_description_en,parameter_group_en,parameter_granularity,parameter_decimals,parameter_datatype,parameter_unit
rre150y0,Precipitation; annual total,Precipitation,Y,1,Float,mm
tso005y0,Soil temperature at 5 cm depth; annual mean,Soil temperature,Y,1,Float,°C
tso010y0,Soil temperature at 10 cm depth; annual mean,Soil temperature,Y,1,Float,°C
tso020y0,Soil temperature at 20 cm depth; annual mean,Soil temperature,Y,1,Float,°C
tre200h0,Air temperature 2 m above ground; hourly mean,Temperature,H,1,Float,°C
tre200hn,Air temperature 2 m above ground; hourly minimum,Temperature,H,1,Float,°C
wcc006s0,Foehn index,Wind,T,0,Integer,Code
pva200d0,Vapour pressure 2 m above ground; daily mean,Humidity,D,1,Float,hPa
tre200hx,Air temperature 2 m above ground; hourly maximum,Temperature,H,1,Float,°C
tre200m0,Air temperature 2 m above ground; monthly mean,Temperature,M,1,Float,°C
tre200mn,Air temperature 2 m above ground; absolute monthly minimum,Temperature,M,1,Float,°C
tre200mx,Air temperature 2 m above ground; absolute monthly maximum,Temperature,M,1,Float,°C
tre200s0,Air temperature 2 m above ground; current value,Temperature,T,1,Float,°C
tre200y0,Air temperature 2 m above ground; annual mean,Temperature,Y,1,Float,°C
tre200yn,Air temperature 2 m above ground; absolute annual minimum,Temperature,Y,1,Float,°C
tre200yx,Air temperature 2 m above ground; absolute annual maximum,Temperature,Y,1,Float,°C
tresurs0,Air temperature at surface; current value,Temperature,T,1,Float,°C
xcd000m0,Cooling Degree Day (CDD); monthly total,Temperature,M,1,Float,°C
pp0qffd0,Atmospheric pressure reduced to sea level (QFF); daily mean,Pressure,D,1,Float,hPa
ppz850d0,Geopotential height of the 850 hPA level; daily mean,Pressure,D,1,Float,gpm
ppz700d0,Geopotential height of the 700 hPA level; daily mean,Pressure,D,1,Float,gpm
pp0qnhs0,Atmospheric pressure reduced to sea level according to standard atmosphere (QNH); current value,Pressure,T,1,Float,hPa
pp0qffs0,Atmospheric pressure reduced to sea level (QFF); current value,Pressure,T,1,Float,hPa
ppz850s0,Geopotential height of the 850 hPA level; current value,Pressure,T,1,Float,gpm
ppz700s0,Geopotential height of the 700 hPA level; current value,Pressure,T,1,Float,gpm
pva200s0,Vapour pressure 2 m above ground; current value,Humidity,T,1,Float,hPa
ppz850m0,Geopotential height of the 850 hPA level; monthly mean,Pressure,M,1,Float,gpm
ppz700m0,Geopotential height of the 700 hPA level; monthly mean,Pressure,M,1,Float,gpm
ppz850y0,Geopotential height of the 850 hPA level; yearly mean,Pressure,Y,1,Float,gpm
ppz700y0,Geopotential height of the 700 hPA level; yearly mean,Pressure,Y,1,Float,gpm
rreetsd0,,,,,,
rreetsm0,,,,,,
rreetsy0,,,,,,
dkl010d0,Wind direction; daily mean,Wind,D,0,Integer,°
fu3010y1,Gust peak (one second); annual maximum in km/h,Wind,Y,1,Float,km/h
fu3010z0,Wind speed; ten minutes mean in km/h,Wind,T,1,Float,km/h
fu3010h0,Wind speed scalar; hourly mean in km/h,Wind,H,1,Float,km/h
fu3010d0,Wind speed scalar; daily mean in km/h,Wind,D,1,Float,km/h
fu3010m0,Wind speed scalar; monthly mean in km/h,Wind,M,1,Float,km/h
fu3010y0,Wind speed scalar; annual mean in km/h,Wind,Y,1,Float,km/h
olo000z0,Longwave outgoing radiation; ten minute mean,Radiation,T,0,Integer,W/m²
tso005hs,Soil temperature at 5 cm depth; hourly current value,Soil temperature,H,1,Float,°C
tso010hs,Soil temperature at 10 cm depth; hourly current value,Soil temperature,H,1,Float,°C
tso020hs,Soil temperature at 20 cm depth; hourly current value,Soil temperature,H,1,Float,°C
pp0qnhh0,Atmospheric pressure reduced to sea level according to standard atmosphere (QNH); hourly mean,Pressure,H,1,Float,hPa
pp0qnhd0,Atmospheric pressure reduced to sea level according to standard atmosphere (QNH); daily mean,Pressure,D,1,Float,hPa
pp0qnhm0,Atmospheric pressure reduced to sea level according to standard atmosphere (QNH); monthly mean,Pressure,M,1,Float,hPa
pp0qnhy0,Atmospheric pressure reduced to sea level according to standard atmosphere (QNH); annual mean,Pressure,Y,1,Float,hPa
ppz700h0,Geopotential height of the 700 hPA level; hourly mean,Pressure,H,1,Float,gpm
ppz850h0,Geopotential height of the 850 hPA level; hourly mean,Pressure,H,1,Float,gpm
fkl010z3,Gust peak (three seconds); maximum in m/s,Wind,T,1,Float,m/s
osr000z0,Shortwave reflected radiation; ten minute mean,Radiation,T,0,Integer,W/m²
fu3010z1,Gust peak (one second); maximum in km/h,Wind,T,1,Float,km/h
fu3010h1,Gust peak (one second); hourly maximum in km/h,Wind,H,1,Float,km/h
fu3010d1,Gust peak (one second); daily maximum in km/h,Wind,D,1,Float,km/h
fu3010m1,Gust peak (one second); monthly maximum in km/h,Wind,M,1,Float,km/h
htoauts0,Snow depth (automatic measurement); current value,Snow,T,0,Integer,cm
htoauths,Snow depth (automatic measurement); hourly current value,Snow,H,0,Integer,cm
htoautd0,Snow depth (automatic measurement); morning measurement at 6 UTC,Snow,D,0,Integer,cm
oli000d0,Longwave incoming radiation; daily mean,Radiation,D,0,Integer,W/m²
oli000h0,Longwave incoming radiation; hourly mean,Radiation,H,0,Integer,W/m²
oli000m0,Longwave incoming radiation; monthly mean,Radiation,M,0,Integer,W/m²
oli000y0,Longwave incoming radiation; annual mean,Radiation,Y,0,Integer,W/m²
fkl010d3,Gust peak (three seconds); daily maximum in m/s,Wind,D,1,Float,m/s
fkl010h3,Gust peak (three seconds); hourly maximum in m/s,Wind,H,1,Float,m/s
fu3010d3,Gust peak (three seconds); daily maximum in km/h,Wind,D,1,Float,km/h
fu3010h3,Gust peak (three seconds); hourly maximum in km/h,Wind,H,1,Float,km/h
fu3010z3,Gust peak (three seconds); maximum in km/h,Wind,T,1,Float,km/h
olo000d0,Longwave outgoing radiation; daily mean,Radiation,D,0,Integer,W/m²
olo000h0,Longwave outgoing radiation; hourly mean,Radiation,H,0,Integer,W/m²
olo000m0,Longwave outgoing radiation; monthly mean,Radiation,M,0,Integer,W/m²
osr000d0,Shortwave reflected radiation; daily mean,Radiation,D,0,Integer,W/m²
osr000h0,Shortwave reflected radiation; hourly mean,Radiation,H,0,Integer,W/m²
osr000m0,Shortwave reflected radiation; monthly mean,Radiation,M,0,Integer,W/m²
olo000y0,Longwave outgoing radiation; yearly mean,Radiation,Y,0,Integer,W/m²
osr000y0,Shortwave reflected radiation; yearly mean,Radiation,Y,0,Integer,W/m²
xcd000y0,Cooling Degree Day (CDD); annual total,Temperature,Y,1,Float,°C
ods000h0,Diffuse radiation; hourly mean,Radiation,H,0,Integer,W/m²
ods000d0,Diffuse radiation; daily mean,Radiation,D,0,Integer,W/m²
xcd000d0,,,,,,
xchills0,Chill temperature; current value,Temperature,T,1,Float,°C
xno000d0,Heating degrees (HGT12/20),Temperature,D,1,Float,°C
erefaod0,Reference evaporation from FAO; daily total,Evaporation,D,1,Float,mm/d
wcc006d0,,,,,,
xno000m0,Heating degrees (HGT12/20); monthly total,Temperature,M,1,Float,°C
xno000y0,Heating degrees (HGT12/20); annual total,Temperature,Y,1,Float,°C
xno012d0,Heating degrees (ATD12/12),Temperature,D,1,Float,°C
xno012m0,Heating degrees (ATD12/12); monthly total,Temperature,M,1,Float,°C
erefaoh0,Reference evaporation from FAO; hourly total,Evaporation,H,3,Float,mm/h
wcc006h0,Foehn index; hour value,Wind,H,0,Integer,min
tde200h0,Dew point 2 m above ground; hourly mean,Humidity,H,1,Float,°C
fve010h0,Wind speed vectorial; hourly mean in m/s,Wind,H,1,Float,m/s
erefaom0,Reference evaporation from FAO; monthly total,Evaporation,M,1,Float,mm/d
erefaoy0,Reference evaporation from FAO; annual total,Evaporation,Y,1,Float,mm/d
xno012y0,Heating degrees (ATD12/12); annual total,Temperature,Y,1,Float,°C
